04-18-2026 13:11:18 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,2%@883,71%@883] GR3D_FREQ 62% cpu@57.281C soc2@56.781C soc0@55.718C gpu@57.343C tj@57.343C soc1@56.5C VDD_IN 7762mW/7755mW VDD_CPU_GPU_CV 2503mW/2484mW VDD_SOC 1791mW/1781mW
04-18-2026 13:11:19 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,3%@806,70%@806] GR3D_FREQ 74% cpu@57.468C soc2@56.75C soc0@55.656C gpu@57.468C tj@57.468C soc1@56.75C VDD_IN 7961mW/7758mW VDD_CPU_GPU_CV 2618mW/2486mW VDD_SOC 1788mW/1781mW
04-18-2026 13:11:19 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@883,70%@883] GR3D_FREQ 62% cpu@57.687C soc2@56.781C soc0@55.718C gpu@57.375C tj@57.687C soc1@56.656C VDD_IN 7842mW/7760mW VDD_CPU_GPU_CV 2543mW/2487mW VDD_SOC 1791mW/1781mW
04-18-2026 13:11:20 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,3%@883,72%@883] GR3D_FREQ 64% cpu@57.437C soc2@56.843C soc0@55.718C gpu@57.468C tj@57.468C soc1@56.656C VDD_IN 7802mW/7760mW VDD_CPU_GPU_CV 2543mW/2488mW VDD_SOC 1791mW/1781mW
04-18-2026 13:11:20 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,1%@1510,3%@806,68%@806] GR3D_FREQ 74% cpu@57.531C soc2@56.875C soc0@55.656C gpu@57.468C tj@57.531C soc1@56.625C VDD_IN 7961mW/7764mW VDD_CPU_GPU_CV 2618mW/2490mW VDD_SOC 1791mW/1781mW
04-18-2026 13:11:21 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,0%@1510,0%@1510,0%@883,72%@883] GR3D_FREQ 64% cpu@57.312C soc2@56.843C soc0@55.625C gpu@57.343C tj@57.343C soc1@56.562C VDD_IN 7881mW/7766mW VDD_CPU_GPU_CV 2583mW/2492mW VDD_SOC 1791mW/1782mW
04-18-2026 13:11:21 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,5%@1510,1%@1510,0%@1510,2%@883,70%@883] GR3D_FREQ 61% cpu@57.343C soc2@56.75C soc0@55.687C gpu@57.531C tj@57.531C soc1@56.437C VDD_IN 7802mW/7766mW VDD_CPU_GPU_CV 2543mW/2492mW VDD_SOC 1791mW/1782mW
04-18-2026 13:11:22 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,3%@1510,2%@806,70%@806] GR3D_FREQ 73% cpu@57.312C soc2@56.812C soc0@55.812C gpu@57.468C tj@57.468C soc1@56.531C VDD_IN 7881mW/7768mW VDD_CPU_GPU_CV 2579mW/2494mW VDD_SOC 1791mW/1782mW
04-18-2026 13:11:22 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@1510,1%@1510,0%@883,70%@883] GR3D_FREQ 64% cpu@57.375C soc2@56.843C soc0@55.687C gpu@57.531C tj@57.531C soc1@56.562C VDD_IN 7881mW/7770mW VDD_CPU_GPU_CV 2583mW/2495mW VDD_SOC 1791mW/1782mW
04-18-2026 13:11:23 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,1%@1510,0%@1510,0%@1510,3%@883,71%@883] GR3D_FREQ 62% cpu@57.656C soc2@56.843C soc0@55.781C gpu@57.75C tj@57.75C soc1@56.468C VDD_IN 7802mW/7770mW VDD_CPU_GPU_CV 2543mW/2496mW VDD_SOC 1791mW/1782mW
