04-18-2026 12:35:39 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,3%@1510,3%@1510,0%@1190,74%@1190] GR3D_FREQ 62% cpu@54.812C soc2@54.125C soc0@53.312C gpu@54.437C tj@54.812C soc1@54.218C VDD_IN 6089mW/6098mW VDD_CPU_GPU_CV 1360mW/1348mW VDD_SOC 1602mW/1598mW
04-18-2026 12:35:39 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,0%@1113,74%@1113] GR3D_FREQ 62% cpu@54.781C soc2@54.125C soc0@53.218C gpu@54.312C tj@54.781C soc1@54.218C VDD_IN 6129mW/6099mW VDD_CPU_GPU_CV 1360mW/1348mW VDD_SOC 1600mW/1598mW
04-18-2026 12:35:40 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,3%@1510,3%@1510,1%@1510,0%@1190,76%@1190] GR3D_FREQ 65% cpu@55.187C soc2@54.062C soc0@53.125C gpu@54.375C tj@55.187C soc1@54.437C VDD_IN 6129mW/6099mW VDD_CPU_GPU_CV 1360mW/1349mW VDD_SOC 1602mW/1598mW
04-18-2026 12:35:40 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,2%@1510,0%@1510,1%@1190,73%@1190] GR3D_FREQ 66% cpu@54.843C soc2@54.062C soc0@53.156C gpu@54.437C tj@54.843C soc1@54.406C VDD_IN 6129mW/6100mW VDD_CPU_GPU_CV 1360mW/1349mW VDD_SOC 1600mW/1598mW
04-18-2026 12:35:41 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,2%@1510,1%@1510,0%@1190,76%@1190] GR3D_FREQ 59% cpu@54.875C soc2@54.062C soc0@53.187C gpu@54.375C tj@54.875C soc1@54.312C VDD_IN 6129mW/6100mW VDD_CPU_GPU_CV 1360mW/1349mW VDD_SOC 1600mW/1598mW
04-18-2026 12:35:41 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,1%@1510,2%@1113,74%@1113] GR3D_FREQ 51% cpu@54.968C soc2@54.156C soc0@53.125C gpu@54.406C tj@54.968C soc1@54.281C VDD_IN 6089mW/6100mW VDD_CPU_GPU_CV 1360mW/1349mW VDD_SOC 1600mW/1598mW
04-18-2026 12:35:42 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 50% cpu@54.843C soc2@54.218C soc0@53.125C gpu@54.562C tj@54.843C soc1@54.156C VDD_IN 6129mW/6101mW VDD_CPU_GPU_CV 1360mW/1349mW VDD_SOC 1600mW/1598mW
04-18-2026 12:35:42 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,3%@1510,0%@1113,73%@1113] GR3D_FREQ 50% cpu@54.875C soc2@54.125C soc0@53.281C gpu@54.375C tj@54.875C soc1@54.125C VDD_IN 6129mW/6101mW VDD_CPU_GPU_CV 1360mW/1350mW VDD_SOC 1600mW/1598mW
04-18-2026 12:35:43 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,0%@1190,75%@1190] GR3D_FREQ 53% cpu@54.812C soc2@54.125C soc0@53.25C gpu@54.593C tj@54.812C soc1@54.125C VDD_IN 6129mW/6102mW VDD_CPU_GPU_CV 1360mW/1350mW VDD_SOC 1600mW/1598mW
04-18-2026 12:35:43 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,3%@1510,3%@1510,0%@1113,74%@1113] GR3D_FREQ 50% cpu@54.906C soc2@54.062C soc0@53.218C gpu@54.437C tj@54.812C soc1@54.125C VDD_IN 6129mW/6102mW VDD_CPU_GPU_CV 1360mW/1350mW VDD_SOC 1600mW/1598mW
