04-18-2026 13:06:43 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@729,2%@729,100%@1510,0%@1510] GR3D_FREQ 76% cpu@59.875C soc2@59.218C soc0@58C gpu@60.156C tj@60.156C soc1@58.531C VDD_IN 10006mW/9973mW VDD_CPU_GPU_CV 4100mW/4065mW VDD_SOC 2053mW/2029mW
04-18-2026 13:06:43 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@919,1%@729,2%@729,98%@1510,0%@1510] GR3D_FREQ 72% cpu@59.718C soc2@59.156C soc0@58C gpu@60.156C tj@60.156C soc1@58.531C VDD_IN 9927mW/9972mW VDD_CPU_GPU_CV 4100mW/4065mW VDD_SOC 2017mW/2029mW
04-18-2026 13:06:44 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,0%@729,3%@729,100%@1510,1%@1510] GR3D_FREQ 70% cpu@59.875C soc2@59.156C soc0@57.968C gpu@59.906C tj@59.906C soc1@58.5C VDD_IN 10046mW/9973mW VDD_CPU_GPU_CV 4132mW/4067mW VDD_SOC 2053mW/2029mW
04-18-2026 13:06:44 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,1%@729,98%@1510,0%@1510] GR3D_FREQ 78% cpu@59.781C soc2@59.187C soc0@57.875C gpu@60.093C tj@60.093C soc1@58.5C VDD_IN 10125mW/9976mW VDD_CPU_GPU_CV 4172mW/4068mW VDD_SOC 2053mW/2030mW
04-18-2026 13:06:45 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 76% cpu@59.781C soc2@59.187C soc0@57.906C gpu@60.031C tj@60.031C soc1@58.468C VDD_IN 10085mW/9978mW VDD_CPU_GPU_CV 4178mW/4070mW VDD_SOC 2053mW/2030mW
04-18-2026 13:06:46 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,1%@1510,0%@1510,98%@1510,1%@1510] GR3D_FREQ 84% cpu@59.781C soc2@59.281C soc0@57.937C gpu@59.937C tj@59.937C soc1@58.718C VDD_IN 10046mW/9979mW VDD_CPU_GPU_CV 4100mW/4071mW VDD_SOC 2013mW/2030mW
04-18-2026 13:06:46 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,100%@1510,1%@1510] GR3D_FREQ 68% cpu@60.062C soc2@59.125C soc0@57.968C gpu@60.062C tj@60.062C soc1@58.75C VDD_IN 10006mW/9979mW VDD_CPU_GPU_CV 4054mW/4070mW VDD_SOC 2053mW/2030mW
04-18-2026 13:06:47 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,2%@1510,1%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 72% cpu@60.25C soc2@59.125C soc0@57.906C gpu@60.187C tj@60.25C soc1@58.718C VDD_IN 9967mW/9979mW VDD_CPU_GPU_CV 4054mW/4070mW VDD_SOC 2013mW/2030mW
04-18-2026 13:06:47 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,98%@1510,0%@1510] GR3D_FREQ 83% cpu@59.937C soc2@59.187C soc0@57.875C gpu@60.406C tj@60.406C soc1@58.656C VDD_IN 10006mW/9979mW VDD_CPU_GPU_CV 4100mW/4071mW VDD_SOC 2013mW/2029mW
04-18-2026 13:06:48 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,3%@729,100%@1510,0%@1510] GR3D_FREQ 74% cpu@59.937C soc2@59.187C soc0@57.906C gpu@60.187C tj@60.187C soc1@58.625C VDD_IN 10046mW/9980mW VDD_CPU_GPU_CV 4100mW/4071mW VDD_SOC 2013mW/2029mW
04-18-2026 13:06:48 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 75% cpu@60.187C soc2@59.406C soc0@57.875C gpu@60.375C tj@60.375C soc1@58.687C VDD_IN 10085mW/9982mW VDD_CPU_GPU_CV 4100mW/4071mW VDD_SOC 2013mW/2029mW
04-18-2026 13:06:49 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,3%@729,98%@1510,0%@1510] GR3D_FREQ 65% cpu@59.937C soc2@59.281C soc0@57.875C gpu@59.968C tj@59.968C soc1@58.625C VDD_IN 10085mW/9983mW VDD_CPU_GPU_CV 4172mW/4073mW VDD_SOC 2053mW/2029mW
