04-18-2026 13:03:28 RAM 4421/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,3%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 78% cpu@57.343C soc2@56.75C soc0@55.437C gpu@58.062C tj@58.062C soc1@56.343C VDD_IN 9927mW/9956mW VDD_CPU_GPU_CV 4060mW/4079mW VDD_SOC 2017mW/2015mW
04-18-2026 13:03:29 RAM 4421/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,1%@729,1%@729,0%@1510,98%@1510] GR3D_FREQ 79% cpu@57.531C soc2@56.718C soc0@55.406C gpu@57.531C tj@57.531C soc1@56.375C VDD_IN 10046mW/9958mW VDD_CPU_GPU_CV 4100mW/4079mW VDD_SOC 2013mW/2015mW
04-18-2026 13:03:29 RAM 4421/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 75% cpu@57.562C soc2@56.625C soc0@55.468C gpu@57.718C tj@57.718C soc1@56.375C VDD_IN 10046mW/9959mW VDD_CPU_GPU_CV 4139mW/4080mW VDD_SOC 2013mW/2015mW
04-18-2026 13:03:30 RAM 4421/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,0%@729,0%@729,3%@1510,98%@1510] GR3D_FREQ 79% cpu@57.812C soc2@56.781C soc0@55.468C gpu@57.812C tj@57.812C soc1@56.375C VDD_IN 9967mW/9959mW VDD_CPU_GPU_CV 4139mW/4081mW VDD_SOC 2017mW/2015mW
04-18-2026 13:03:30 RAM 4421/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,2%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 76% cpu@57.531C soc2@56.812C soc0@55.531C gpu@57.687C tj@57.687C soc1@56.281C VDD_IN 9888mW/9958mW VDD_CPU_GPU_CV 4139mW/4082mW VDD_SOC 2017mW/2015mW
04-18-2026 13:03:31 RAM 4421/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@954,1%@729,0%@1510,98%@1510] GR3D_FREQ 75% cpu@57.593C soc2@57C soc0@55.468C gpu@57.812C tj@57.812C soc1@56.343C VDD_IN 9888mW/9957mW VDD_CPU_GPU_CV 4100mW/4082mW VDD_SOC 2017mW/2015mW
04-18-2026 13:03:31 RAM 4421/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 88% cpu@57.468C soc2@56.906C soc0@55.531C gpu@58C tj@58C soc1@56.312C VDD_IN 9848mW/9955mW VDD_CPU_GPU_CV 4100mW/4083mW VDD_SOC 2017mW/2015mW
04-18-2026 13:03:32 RAM 4421/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 69% cpu@57.468C soc2@56.937C soc0@55.75C gpu@57.687C tj@57.687C soc1@56.375C VDD_IN 9927mW/9955mW VDD_CPU_GPU_CV 4060mW/4082mW VDD_SOC 2017mW/2015mW
04-18-2026 13:03:32 RAM 4421/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,1%@1510,98%@1510] GR3D_FREQ 69% cpu@57.656C soc2@56.937C soc0@55.75C gpu@57.75C tj@57.75C soc1@56.281C VDD_IN 9848mW/9953mW VDD_CPU_GPU_CV 4060mW/4082mW VDD_SOC 2017mW/2015mW
04-18-2026 13:03:33 RAM 4421/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 81% cpu@57.531C soc2@56.968C soc0@55.781C gpu@57.906C tj@57.906C soc1@56.375C VDD_IN 9967mW/9954mW VDD_CPU_GPU_CV 4100mW/4082mW VDD_SOC 2017mW/2015mW
